time,open,high,low,close,Volume
1746426300,23149.95,23157.95,23139.93,23151.95,224
1746426600,23151.95,23171.93,23141.93,23166.45,270
1746426900,23166.45,23171.95,23161.43,23170.94,261
1746427200,23170.94,23185.95,23166.95,23181.43,335
1746427500,23181.43,23181.43,23151.45,23156.94,273
1746427800,23156.94,23157.45,23145.93,23149.94,246
1746428100,23149.94,23158.95,23140.43,23151.94,477
1746428400,23151.94,23172.8,23123.79,23170.3,1538
1746428700,23170.3,23178.3,23153.3,23172.29,781
1746429000,23172.29,23189.8,23170.3,23181.8,703
1746429300,23181.8,23184.3,23160.8,23182.78,628
1746429600,23182.78,23230.29,23179.78,23221.8,609
1746429900,23221.8,23221.8,23177.79,23199.3,572
1746430200,23199.3,23205.8,23183.79,23199.29,476
1746430500,23199.29,23201.8,23180.78,23186.29,468
1746430800,23186.29,23203.8,23186.28,23196.3,579
1746431100,23196.3,23210.79,23185.3,23201.29,450
1746431400,23201.29,23220.8,23190.29,23218.8,408
1746431700,23218.8,23225.3,23208.3,23212.8,456
1746432000,23212.8,23237.78,23208.28,23232.79,535
1746432300,23232.79,23246.8,23215.79,23243.78,504
1746432600,23243.78,23249.8,23223.29,23223.78,435
1746432900,23223.78,23254.3,23219.79,23247.28,434
1746433200,23247.28,23263.28,23245.78,23263.28,337
1746433500,23263.28,23265.29,23248.29,23249.78,345
1746433800,23249.78,23267.28,23242.79,23260.3,480
1746434100,23260.3,23260.79,23234.3,23238.8,445
1746434400,23238.8,23250.78,23232.28,23248.28,412
1746434700,23248.28,23250.3,23234.8,23244.29,370
1746435000,23244.29,23244.8,23218.29,23219.3,390
1746435300,23219.3,23228.8,23214.78,23222.28,432
1746435600,23222.28,23226.3,23211.78,23219.78,467
1746435900,23219.78,23221.28,23204.79,23208.29,398
1746436200,23208.29,23219.3,23205.3,23214.29,430
1746436500,23214.29,23229.28,23212.28,23225.29,466
1746436800,23225.29,23239.8,23223.28,23236.79,336
1746437100,23236.79,23249.78,23227.79,23245.3,367
1746437400,23245.3,23268.8,23245.3,23257.28,387
1746437700,23257.28,23257.28,23232.79,23240.3,341
1746438000,23240.3,23252.8,23233.78,23252.8,397
1746438300,23252.8,23254.8,23243.28,23248.29,317
1746438600,23248.29,23260.8,23246.78,23249.8,260
1746438900,23249.8,23250.29,23241.78,23247.29,316
1746439200,23247.29,23261.8,23244.28,23246.79,331
1746439500,23246.79,23255.79,23239.29,23253.28,425
1746439800,23253.28,23258.8,23245.78,23257.79,300
1746440100,23257.79,23257.79,23245.78,23252.3,247
1746440400,23252.3,23255.3,23243.8,23253.8,227
1746440700,23253.8,23260.8,23242.79,23254.3,266
1746441000,23254.3,23264.29,23249.79,23262.28,269
1746441300,23262.28,23272.8,23256.28,23268.8,239
1746441600,23268.8,23279.8,23268.28,23270.78,272
1746441900,23270.78,23277.79,23265.28,23276.78,242
1746442200,23276.78,23294.8,23273.8,23291.78,318
1746442500,23291.78,23297.8,23284.79,23287.78,279
1746442800,23287.78,23296.29,23283.78,23286.8,466
1746443100,23286.8,23295.29,23279.78,23289.8,291
